"CODE" "PLOT" "BLOCK" "TREAT" "DATE" "SPEC" "SP_CODE" "LIFE.FORM" "NO_STEMS" "BASAL_A" "HEIGHT_M" "LEAVES" "TRUNK" "WEIGHT" "SURV" "WET..g." "DRY" "WATER" "DBH1" "DBH2" "DBH3" "DBH4" "DBH5" "DBH6" "DBH7" "DBH8" "DBH9" "DBH10" "DBH11" "DBH12" "DBH13" "DBH14" "DBH15" "DBH16" "DBH17" "DBH18" "DBH19" "DBH20" "DBH21" "DBH22" "DBH23" "DBH24" "DBH25" "DBH26" "DBH27" "DBH28" "DBH29" "DBH30" "DBH31" "DBH32" "DBH33" "DBH34" "DBH35" "DBH36" "DBH37" "DBH38" "DBH39" "DBH40" "DBH41" "DBH42" "DBH43" "DBH44" "DBH45" "DBH46" "DBH47"
"11" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Trema orientalis" "TREMOR" "tree" 1 NA NA "0.07295" "1.2" "1.27295" "KM" 21.55 5.21 16.34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Marsdenia velutina" "MARSVE" "vine" NA NA NA "0.00559" NA "0.00559" "KM" 2.1 0.4 1.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA "0.08912" NA "0.08912" "KM" 3.38 0.7 2.68 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Dioscorea sp. 1" "DIOSS1" "vine" NA NA NA "0.00814" NA "0.00814" "KM" 3.59 0.77 2.82 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Cordyline terminalis" "CORDTE" "herb" NA NA NA "0.03903" "14.87" "14.90903" "KM" 18.79 5.9 12.89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA "0.235" NA "0.235" "KM" 9.94 1.68 8.26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Euphorbia hirta" "EUPHHI" "herb" NA NA NA "0.01567" NA "0.01567" "KM" 3.18 0.73 2.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Trema orientalis" "TREMOR" "tree" 2 4.81 2.4 "2.2" "1.58" "3.78" "KM" 15.51 3.93 11.58 1.8 1.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Mimosa diplotricha" "MIMODI" "herb" NA NA NA "11.42" NA "11.42" "KM" 1.74 0.52 1.22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Urena lobata" "URENLO" "herb" NA NA NA "0.405" "1.11" "1.515" "KM" 12.44 3.98 8.46 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA "1.485" NA "1.485" "KM" 7.24 1.44 5.8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Breynia cernua" "BREYCE" "shrub" NA NA NA "0.05343" "0.0421" "0.09553" "KM" 17.79 4.57 13.22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Euphorbia geniculata" "EUPHGE" "herb" NA NA NA "0.12942" NA "0.12942" "KM" 5.76 0.99 4.77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA "0.445" NA "0.445" "KM" 3.53 1.01 2.52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA "0.235" NA "0.235" "KM" 11.84 1.77 10.07 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA "0.94" NA "0.94" "KM" 3.72 1.44 2.28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Trichospermum pleiostigma" "TRICPL" "tree" 1 NA NA "0.04753" "0.3293" "0.37683" "KM" 14.56 3.62 10.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Trema orientalis" "TREMOR" "tree" 7 23.15 2.94 "5.745" "14.34" "20.085" "KM" 15.9 4.48 11.42 2.4 2.5 2 2.3 1.6 2.1 1.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Trichospermum pleiostigma" "TRICPL" "tree" 1 6.61 3 "0.5" "1.63" "2.13" "KM" 17.18 6.15 11.03 2.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Macaranga quadriglandulosa" "MACAQU" "tree" 1 5.31 3.4 "0.71" "2.7" "3.41" "KM" 19.87 10.02 9.85 2.6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piptrus argenteus" "PIPTAR" "tree" 1 4.52 2.7 "1.61" "0.28" "1.89" "KM" 16.52 6.56 9.96 2.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ficus congesta" "FICUCO" "tree" 1 NA NA "0.0658" "0.09186" "0.15766" "KM" 16.61 5.67 10.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA "1.295" NA "1.295" "KM" 3.83 0.83 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA "2.435" NA "2.435" "KM" 8.85 1.48 7.37 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA "2.055" NA "2.055" "KM" 6.89 1.32 5.57 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Urena lobata" "URENLO" "herb" NA NA NA "0.05564" "0.415" "0.47064" "KM" 3.42 1.45 1.97 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piper aduncum" "PIPEAD" "tree" 1 NA NA "0.09653" "0.01237" "0.1089" "KM" 17.82 4.18 13.64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA "1.195" NA "1.195" "KM" 6.5 1.76 4.74 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Mikania micrantha" "MIKAMI" "vine" NA NA NA "0.42" NA "0.42" "KM" 10.9 1.59 9.31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Synedrella nodiflora" "SYNENO" "herb" NA NA NA "0.255" NA "0.255" "KM" 6.12 1.73 4.39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Calopogonium mucunoides" "CALOMU" "vine" NA NA NA "1.19" NA "1.19" "KM" 5.2 1.73 3.47 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Breynia cernua" "BREYCE" "shrub" NA NA NA "???" "???" "#N/A" "KM" 17.47 5.16 12.31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Lepistemon urceolatus" "LEPIUR" "vine" NA NA NA "0.09577" NA "0.09577" "KM" 18.03 4.86 13.17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Amomum maximum" "AMOMMA" "herb" NA NA NA "0.03521" NA "0.03521" "KM" 10.27 1.75 8.52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Piper umbellatum" "PIPEUM" "tree" 1 NA NA "0.06026" NA "0.06026" "KM" 18.37 3 15.37 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Ipomea sp. 1" "IPOMS1" "vine" NA NA NA "0.01823" NA "0.01823" "KM" 8.03 1.9 6.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "WG1P3" "P3" "WG1" "CONTROL" "08/17/16" "Marsdenia velutina" "MARSVE" "vine" NA NA NA "0.01202" NA "0.01202" "KM" 3.71 0.58 3.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Marsdenia velutina" "MARSVE" "vine" NA NA NA "0.01373" NA "0.01373" "KM" 2.83 0.72 2.11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Piptrus argenteus" "PIPTAR" "tree" 1 15.21 4.6 "2.6" "7.005" "9.605" "KM" 18.31 7.47 10.84 4.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA "1.57" NA "1.57" "KM" 4.7 1.35 3.35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Lepistemon urceolatus" "LEPIUR" "vine" NA NA NA "0.235" NA "0.235" "KM" 17.53 6.41 11.12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Hyptis capitata" "HYPTCA" "herb" NA NA NA "0.205" NA "0.205" "KM" 8.71 2.3 6.41 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Synedrella nodiflora" "SYNENO" "herb" NA NA NA "4.21" NA "4.21" "KM" 8.04 2.39 5.65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Commersonia bartramia" "COMMBA" "tree" 3 35.04 6.13 "2.865" "13.475" "16.34" "KM" 20.08 10.29 9.79 4.4 3.7 3.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Trema orientalis" "TREMOR" "tree" 10 32.2 2.89 "3.415" "10.28" "13.695" "KM" 13.65 4.58 9.07 1.5 1.5 2.6 2.3 1.5 2.1 1.9 2.7 1.7 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Cordyline terminalis" "CORDTE" "herb" NA NA NA "1.295" "1.195" "2.49" "KM" 25.1 6.61 18.49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Imperata cyllindrica" "IMPECY" "grass" NA NA NA "3.595" NA "3.595" "KM" 11.41 4.29 7.12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Urena lobata" "URENLO" "herb" NA NA NA "0.2" NA "0.2" "KM" 9.8 4.22 5.58 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Paspalum sp. 2" "PASPS2" "grass" NA NA NA "0.1029" NA "0.1029" "KM" 1.95 0.8 1.15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA "0.0746" NA "0.0746" "KM" 3.16 0.54 2.62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "WG1P4" "P4" "WG1" "PREDATOR" "08/20/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA "0.03061" NA "0.03061" "KM" 4.34 0.99 3.35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "WG1P5" "P5" "WG1" "WEEVIL25" "08/18/16" "Trema orientalis" "TREMOR" "tree" 9 30.04 3.1 "5.5" "11.97" "17.47" "KM" 10.1 2.91 7.19 1.8 1.6 2.5 1.5 3.1 2.8 1.6 1.3 1.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "WG1P5" "P5" "WG1" "WEEVIL25" "08/18/16" "Ficus hispidoides" "FICUHI" "tree" 6 28.73 3.11 "2.825" "8.39" "11.215" "KM" 30.14 10.03 20.11 2.9 3 2.6 2 2.1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "WG1P5" "P5" "WG1" "WEEVIL25" "08/18/16" "Piptrus argenteus" "PIPTAR" "tree" 1 15.9 4 "2.38" "9.105" "11.485" "KM" 20.63 7.22 13.41 4.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "WG1P5" "P5" "WG1" "WEEVIL25" "08/18/16" "Melanolepis multiglandulosa" "MELAMU" "tree" 1 8.55 4.6 "1.12" "2.65" "3.77" "KM" 25.63 6.29 19.34 3.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "WG1P5" "P5" "WG1" "WEEVIL25" "08/18/16" "Hyptis capitata" "HYPTCA" "herb" NA NA NA "0.855" NA "0.855" "KM" 8.16 2.08 6.08 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "WG1P5" "P5" "WG1" "WEEVIL25" "08/18/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA "2.38" NA "2.38" "KM" 6.1 0.87 5.23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "WG1P5" "P5" "WG1" "WEEVIL25" "08/18/16" "Pisonia longirostris" "PISOLO" "tree" 1 NA NA "0.10542" "0.05696" "0.16238" "KM" 32.78 6.26 26.52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
